date,fiscal_year,customer_code,market,product_code,sold_quantity,product,gross_price,Total_gross_price,pre_invoice_discount_pct
2017-09-01,2018,70002017,India,A0118150101,51,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,785.16,0.0824
2017-09-01,2018,70002018,India,A0118150101,77,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,1185.43,0.2956
2017-09-01,2018,70003181,Indonesia,A0118150101,17,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,261.72,0.0536
2017-09-01,2018,70003182,Indonesia,A0118150101,6,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,92.37,0.2378
2017-09-01,2018,70006157,Philiphines,A0118150101,5,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,76.98,0.1057
2017-09-01,2018,70006158,Philiphines,A0118150101,7,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,107.77,0.1875
2017-09-01,2018,70007198,"South Korea",A0118150101,29,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,446.46,0.0700
2017-09-01,2018,70007199,"South Korea",A0118150101,34,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,523.44,0.2551
2017-09-01,2018,70008169,Australia,A0118150101,22,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,338.69,0.0953
2017-09-01,2018,70008170,Australia,A0118150101,5,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,76.98,0.1896
2017-09-01,2018,70011193,France,A0118150101,10,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,153.95,0.0521
2017-09-01,2018,70011194,France,A0118150101,4,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,61.58,0.2046
2017-09-01,2018,70012042,Germany,A0118150101,0,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,0.00,0.0984
2017-09-01,2018,70012043,Germany,A0118150101,0,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,0.00,0.2620
2017-09-01,2018,70013125,Italy,A0118150101,1,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,15.40,0.0587
2017-09-01,2018,70013126,Italy,A0118150101,1,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,15.40,0.2501
2017-09-01,2018,70016178,Poland,A0118150101,1,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,15.40,0.1937
2017-09-01,2018,70022085,USA,A0118150101,20,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,307.90,0.2025
2017-09-01,2018,70023031,Canada,A0118150101,4,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,61.58,0.1008
2017-09-01,2018,80001019,China,A0118150101,10,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,153.95,0.2815
2017-09-01,2018,80006154,Philiphines,A0118150101,10,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,153.95,0.2728
2017-09-01,2018,80006155,Philiphines,A0118150101,28,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,431.07,0.2797
2017-09-01,2018,80007195,"South Korea",A0118150101,80,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,1231.62,0.2990
2017-09-01,2018,90001021,China,A0118150101,1,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,15.40,0.2798
2017-09-01,2018,90002001,India,A0118150101,42,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,646.60,0.2490
2017-09-01,2018,90002002,India,A0118150101,40,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,615.81,0.2005
2017-09-01,2018,90002003,India,A0118150101,54,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,831.34,0.2831
2017-09-01,2018,90002005,India,A0118150101,77,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,1185.43,0.2121
2017-09-01,2018,90002006,India,A0118150101,30,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,461.86,0.2923
2017-09-01,2018,90002007,India,A0118150101,67,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,1031.48,0.2265
2017-09-01,2018,90002009,India,A0118150101,47,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,723.57,0.2156
2017-09-01,2018,90002010,India,A0118150101,58,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,892.92,0.2242
2017-09-01,2018,90002011,India,A0118150101,21,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,323.30,0.2902
2017-09-01,2018,90002013,India,A0118150101,17,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,261.72,0.2644
2017-09-01,2018,90002014,India,A0118150101,16,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,246.32,0.2971
2017-09-01,2018,90002015,India,A0118150101,32,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,492.65,0.2860
2017-09-01,2018,90003179,Indonesia,A0118150101,15,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,230.93,0.2193
2017-09-01,2018,90006153,Philiphines,A0118150101,9,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,138.56,0.2970
2017-09-01,2018,90007197,"South Korea",A0118150101,48,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",15.3952,738.97,0.2031
